date,price,amount_usd,qty_oz,trigger,phase
2020-01-02,1524.5,23.687242990654205,0.015538,weekly,markup
2020-01-06,1566.2,23.687242990654205,0.015124,weekly,markup
2020-01-13,1548.4,23.687242990654205,0.015298,weekly,markup
2020-01-21,1556.4,23.687242990654205,0.015219,weekly,markup
2020-01-27,1576.8,23.687242990654205,0.015022,weekly,markup
2020-02-03,1577.2,23.687242990654205,0.015019,weekly,markup
2020-02-10,1574.7,23.687242990654205,0.015042,weekly,markup
2020-02-18,1600.0,23.687242990654205,0.014805,weekly,markup
2020-02-24,1672.4,23.687242990654205,0.014164,weekly,markup
2020-03-02,1592.3,23.687242990654205,0.014876,weekly,markup
2020-03-09,1674.5,23.687242990654205,0.014146,weekly,markup
2020-03-16,1485.9,23.687242990654205,0.015941,weekly,markup
2020-03-23,1567.0,23.687242990654205,0.015116,weekly,markup
2020-03-30,1622.0,23.687242990654205,0.014604,weekly,markup
2020-04-06,1677.0,23.687242990654205,0.014125,weekly,markup
2020-04-13,1744.8,23.687242990654205,0.013576,weekly,markup
2020-04-20,1701.6,23.687242990654205,0.013921,weekly,markup
2020-04-27,1711.9,23.687242990654205,0.013837,weekly,markup
2020-05-04,1706.9,23.687242990654205,0.013877,weekly,markup
2020-05-11,1695.3,23.687242990654205,0.013972,weekly,markup
2020-05-18,1731.8,23.687242990654205,0.013678,weekly,markup
2020-05-26,1704.8,23.687242990654205,0.013894,weekly,markup
2020-06-01,1737.8,23.687242990654205,0.013631,weekly,markup
2020-06-08,1698.3,23.687242990654205,0.013948,weekly,markup
2020-06-15,1720.3,23.687242990654205,0.013769,weekly,markup
2020-06-22,1756.7,23.687242990654205,0.013484,weekly,markup
2020-06-29,1774.8,23.687242990654205,0.013346,weekly,markup
2020-07-06,1788.5,23.687242990654205,0.013244,weekly,markup
2020-07-13,1811.0,23.687242990654205,0.01308,weekly,markup
2020-07-20,1815.9,23.687242990654205,0.013044,weekly,markup
2020-07-27,1931.0,23.687242990654205,0.012267,weekly,markup
2020-08-03,1966.0,23.687242990654205,0.012048,weekly,markup
2020-08-10,2024.4,23.687242990654205,0.011701,weekly,markup
2020-08-17,1985.0,23.687242990654205,0.011933,weekly,markup
2020-08-24,1927.7,23.687242990654205,0.012288,weekly,markup
2020-08-31,1967.6,23.687242990654205,0.012039,weekly,markup
2020-09-08,1933.0,23.687242990654205,0.012254,weekly,markup
2020-09-14,1953.1,23.687242990654205,0.012128,weekly,markup
2020-09-21,1901.2,42.24225,0.022219,weekly,distribution
2020-09-28,1872.8,42.24225,0.022556,weekly,distribution
2020-10-05,1912.5,42.24225,0.022087,weekly,distribution
2020-10-12,1922.5,42.24225,0.021973,weekly,distribution
2020-10-19,1906.4,42.24225,0.022158,weekly,distribution
2020-10-26,1902.7,42.24225,0.022201,weekly,distribution
2020-11-02,1890.4,42.24225,0.022346,weekly,distribution
2020-11-09,1853.2,42.24225,0.022794,weekly,distribution
2020-11-16,1887.3,42.24225,0.022382,weekly,distribution
2020-11-23,1837.8,42.24225,0.022985,weekly,distribution
2020-11-30,1775.7,42.24225,0.023789,weekly,distribution
2020-12-07,1861.8,42.24225,0.022689,weekly,distribution
2020-12-14,1828.7,42.24225,0.0231,weekly,distribution
2020-12-21,1879.2,23.687242990654205,0.012605,weekly,markup
2020-12-28,1877.2,23.687242990654205,0.012618,weekly,markup
2021-01-04,1944.7,23.687242990654205,0.01218,weekly,markup
2021-01-11,1849.6,42.24225,0.022839,weekly,distribution
2021-01-19,1839.5,42.24225,0.022964,weekly,distribution
2021-01-25,1854.9,42.24225,0.022773,weekly,distribution
2021-02-01,1860.8,42.24225,0.022701,weekly,distribution
2021-02-08,1831.9,42.24225,0.023059,weekly,distribution
2021-02-16,1797.2,42.24225,0.023504,weekly,distribution
2021-02-22,1806.7,42.24225,0.023381,weekly,distribution
2021-03-01,1722.5,42.24225,0.024524,weekly,distribution
2021-03-08,1677.7,42.24225,0.025179,weekly,distribution
2021-03-15,1728.9,42.24225,0.024433,weekly,distribution
2021-03-22,1737.8,42.24225,0.024308,weekly,distribution
2021-03-29,1712.1,42.24225,0.024673,weekly,distribution
2021-04-05,1727.0,42.24225,0.02446,weekly,distribution
2021-04-12,1731.2,42.24225,0.024401,weekly,distribution
2021-04-19,1769.4,23.687242990654205,0.013387,weekly,markup
2021-04-26,1779.2,23.687242990654205,0.013313,weekly,markup
2021-05-03,1791.4,23.687242990654205,0.013223,weekly,markup
2021-05-10,1837.5,23.687242990654205,0.012891,weekly,markup
2021-05-17,1867.5,23.687242990654205,0.012684,weekly,markup
2021-05-24,1884.6,23.687242990654205,0.012569,weekly,markup
2021-06-01,1902.9,23.687242990654205,0.012448,weekly,markup
2021-06-07,1896.8,23.687242990654205,0.012488,weekly,markup
2021-06-14,1864.0,23.687242990654205,0.012708,weekly,markup
2021-06-21,1781.8,33.349144736842106,0.018717,weekly,markdown
2021-06-28,1779.6,33.349144736842106,0.01874,weekly,markdown
2021-07-06,1793.5,33.349144736842106,0.018594,weekly,markdown
2021-07-12,1805.5,33.349144736842106,0.018471,weekly,markdown
2021-07-19,1808.7,33.349144736842106,0.018438,weekly,markdown
2021-07-26,1798.7,33.349144736842106,0.018541,weekly,markdown
2021-08-02,1818.1,33.349144736842106,0.018343,weekly,markdown
2021-08-09,1723.4,33.349144736842106,0.019351,weekly,markdown
2021-08-16,1786.9,33.349144736842106,0.018663,weekly,markdown
2021-08-23,1803.2,33.349144736842106,0.018494,weekly,markdown
2021-08-30,1809.0,33.349144736842106,0.018435,weekly,markdown
2021-09-07,1795.9,33.349144736842106,0.01857,weekly,markdown
2021-09-13,1792.0,33.349144736842106,0.01861,weekly,markdown
2021-09-20,1761.8,33.349144736842106,0.018929,weekly,markdown
2021-09-27,1750.0,33.349144736842106,0.019057,weekly,markdown
2021-10-04,1766.2,33.349144736842106,0.018882,weekly,markdown
2021-10-11,1754.6,33.349144736842106,0.019007,weekly,markdown
2021-10-18,1764.8,23.687242990654205,0.013422,weekly,markup
2021-10-25,1806.0,23.687242990654205,0.013116,weekly,markup
2021-11-01,1795.1,23.687242990654205,0.013196,weekly,markup
2021-11-08,1827.4,23.687242990654205,0.012962,weekly,markup
2021-11-15,1866.1,23.687242990654205,0.012693,weekly,markup
2021-11-22,1806.0,33.349144736842106,0.018466,weekly,markdown
2021-11-29,1782.3,33.349144736842106,0.018711,weekly,markdown
2021-12-06,1777.5,33.349144736842106,0.018762,weekly,markdown
2021-12-13,1786.3,33.349144736842106,0.018669,weekly,markdown
2021-12-20,1793.7,29.13258620689655,0.016242,weekly,accumulation
2021-12-27,1808.1,29.13258620689655,0.016112,weekly,accumulation
2022-01-03,1799.4,29.13258620689655,0.01619,weekly,accumulation
2022-01-10,1798.4,29.13258620689655,0.016199,weekly,accumulation
2022-01-18,1812.3,29.13258620689655,0.016075,weekly,accumulation
2022-01-24,1841.7,29.13258620689655,0.015818,weekly,accumulation
2022-01-31,1795.0,29.13258620689655,0.01623,weekly,accumulation
2022-02-07,1820.6,29.13258620689655,0.016002,weekly,accumulation
2022-02-14,1868.0,29.13258620689655,0.015596,weekly,accumulation
2022-02-22,1906.1,29.13258620689655,0.015284,weekly,accumulation
2022-02-28,1899.4,29.13258620689655,0.015338,weekly,accumulation
2022-03-07,1993.9,29.13258620689655,0.014611,weekly,accumulation
2022-03-14,1959.6,29.13258620689655,0.014867,weekly,accumulation
2022-03-21,1928.6,29.13258620689655,0.015106,weekly,accumulation
2022-03-28,1939.6,29.13258620689655,0.01502,weekly,accumulation
2022-04-04,1929.2,29.13258620689655,0.015101,weekly,accumulation
2022-04-11,1944.3,29.13258620689655,0.014984,weekly,accumulation
