phase,start,end,n_bars,n_weeks,price_start,price_end,pct_chg,avg_fng
markup,2020-01-02,2020-09-17,180,36.0,1524.5,1940.0,27.3,59.5
distribution,2020-09-18,2020-12-15,62,12.4,1952.1,1852.3,-5.1,70.6
markup,2020-12-16,2021-01-06,14,2.8,1856.1,1906.9,2.7,92.1
distribution,2021-01-07,2021-04-13,66,13.2,1912.3,1746.2,-8.7,76.7
markup,2021-04-14,2021-06-15,44,8.8,1734.9,1854.5,6.9,41.4
markdown,2021-06-16,2021-10-11,82,16.4,1859.5,1754.6,-5.6,44.1
markup,2021-10-12,2021-11-18,28,5.6,1758.3,1861.0,5.8,73.0
markdown,2021-11-19,2021-12-14,17,3.4,1851.2,1770.4,-4.4,32.2
accumulation,2021-12-15,2022-04-21,88,17.6,1762.6,1944.9,10.3,31.4
markdown,2022-04-22,2022-11-04,137,27.4,1931.0,1672.5,-13.4,22.1
accumulation,2022-11-07,2023-02-13,67,13.4,1676.5,1851.9,10.5,34.6
markdown,2023-02-14,2023-03-08,16,3.2,1854.0,1812.7,-2.2,53.4
markup,2023-03-09,2023-05-16,48,9.6,1829.3,1988.4,8.7,57.9
markdown,2023-05-17,2023-07-10,36,7.2,1980.7,1925.0,-2.8,52.6
markup,2023-07-11,2023-07-28,14,2.8,1931.3,1960.4,1.5,54.5
markdown,2023-07-31,2023-10-11,52,10.4,1970.5,1872.8,-5.0,46.1
markup,2023-10-12,2024-06-05,189,37.8,1869.3,2355.12,26.0,69.3
distribution,2024-06-06,2024-12-31,179,35.8,2376.91,2624.53,10.4,58.0
accumulation,2025-01-01,2025-12-31,312,62.4,2623.85,4319.19,64.6,48.9
