label,mf_thresh,ef_thresh,mf_extra_pct,ef_extra_pct,cfd_entry_thresh,total_injected_usd,total_gold_deployed,final_oz,avg_cost_usd,last_price,gold_value_usd,dca_cash_usd,cfd_capital_usd,total_assets_usd,total_return_usd,return_pct,n_buys,n_weekly_buys,n_mod_fear_buys,n_ext_fear_buys,n_sells,total_sell_proceeds,cfd_n_trades,cfd_n_tp,cfd_n_sl,cfd_win_rate_pct,cfd_pnl_usd
mf45_ef25_mp2.00_ep20.0_cfd30,45,25,2.0,20.0,30,13000.0,17424.12,4.6526,2374.13,4319.19,20095.43,785.74,2451.07,23332.25,10332.25,79.48,314,198,62,54,41,6209.86,13,8,5,61.5,1451.07
mf45_ef25_mp2.00_ep20.0_cfd35,45,25,2.0,20.0,35,13000.0,17424.12,4.6526,2374.13,4319.19,20095.43,785.74,2334.16,23215.33,10215.33,78.58,314,198,62,54,41,6209.86,7,6,1,85.7,1334.16
mf45_ef25_mp1.50_ep20.0_cfd30,45,25,1.5,20.0,30,13000.0,17255.0,4.6049,2382.74,4319.19,19889.62,846.58,2451.07,23187.27,10187.27,78.36,314,198,62,54,41,6101.58,13,8,5,61.5,1451.07
mf40_ef25_mp2.00_ep20.0_cfd30,40,25,2.0,20.0,30,13000.0,17239.68,4.5985,2384.2,4319.19,19861.6,869.36,2451.07,23182.03,10182.03,78.32,314,212,48,54,41,6109.04,13,8,5,61.5,1451.07
mf45_ef25_mp1.25_ep20.0_cfd30,45,25,1.25,20.0,30,13000.0,17167.31,4.5802,2387.22,4319.19,19782.88,878.71,2451.07,23112.66,10112.66,77.79,314,198,62,54,41,6046.01,13,8,5,61.5,1451.07
mf45_ef25_mp2.00_ep17.5_cfd30,45,25,2.0,17.5,30,13000.0,17042.74,4.5404,2376.66,4319.19,19610.99,1045.69,2451.07,23107.76,10107.76,77.75,314,198,62,54,41,6088.43,13,8,5,61.5,1451.07
mf40_ef25_mp1.50_ep20.0_cfd30,40,25,1.5,20.0,30,13000.0,17110.3,4.5626,2390.63,4319.19,19706.61,913.12,2451.07,23070.8,10070.8,77.47,314,212,48,54,41,6023.42,13,8,5,61.5,1451.07
mf45_ef25_mp1.50_ep20.0_cfd35,45,25,1.5,20.0,35,13000.0,17255.0,4.6049,2382.74,4319.19,19889.62,846.58,2334.16,23070.35,10070.35,77.46,314,198,62,54,41,6101.58,7,6,1,85.7,1334.16
mf40_ef25_mp2.00_ep20.0_cfd35,40,25,2.0,20.0,35,13000.0,17239.68,4.5985,2384.2,4319.19,19861.6,869.36,2334.16,23065.12,10065.12,77.42,314,212,48,54,41,6109.04,7,6,1,85.7,1334.16
mf35_ef25_mp2.00_ep20.0_cfd30,35,25,2.0,20.0,30,13000.0,17001.97,4.558,2395.72,4319.19,19686.76,911.84,2451.07,23049.68,10049.68,77.31,314,226,34,54,41,5913.82,13,8,5,61.5,1451.07
mf45_ef25_mp1.00_ep20.0_cfd30,45,25,1.0,20.0,30,13000.0,17077.45,4.5549,2391.82,4319.19,19673.49,912.03,2451.07,23036.59,10036.59,77.2,314,198,62,54,41,5989.48,13,8,5,61.5,1451.07
mf40_ef25_mp1.25_ep20.0_cfd30,40,25,1.25,20.0,30,13000.0,17043.97,4.5442,2393.94,4319.19,19627.07,935.82,2451.07,23013.97,10013.97,77.03,314,212,48,54,41,5979.79,13,8,5,61.5,1451.07
mf45_ef25_mp1.25_ep20.0_cfd35,45,25,1.25,20.0,35,13000.0,17167.31,4.5802,2387.22,4319.19,19782.88,878.71,2334.16,22995.74,9995.74,76.89,314,198,62,54,41,6046.01,7,6,1,85.7,1334.16
mf45_ef25_mp2.00_ep17.5_cfd35,45,25,2.0,17.5,35,13000.0,17042.74,4.5404,2376.66,4319.19,19610.99,1045.69,2334.16,22990.85,9990.85,76.85,314,198,62,54,41,6088.43,7,6,1,85.7,1334.16
mf35_ef25_mp1.50_ep20.0_cfd30,35,25,1.5,20.0,30,13000.0,16928.34,4.5313,2399.52,4319.19,19571.68,946.48,2451.07,22969.23,9969.23,76.69,314,226,34,54,41,5874.81,13,8,5,61.5,1451.07
mf45_ef25_mp2.00_ep20.0_cfd40,45,25,2.0,20.0,40,13000.0,17424.12,4.6526,2374.13,4319.19,20095.43,785.74,2081.98,22963.15,9963.15,76.64,314,198,62,54,41,6209.86,5,5,0,100.0,1081.98
mf45_ef25_mp0.75_ep20.0_cfd30,45,25,0.75,20.0,30,13000.0,16985.36,4.5289,2396.54,4319.19,19561.36,946.59,2451.07,22959.02,9959.02,76.61,314,198,62,54,41,5931.95,13,8,5,61.5,1451.07
