module,family_guess,present_in_modules_dir,mentioned_in_registry_text,module_class,surface,survivor_status,runtime_useful,doc_governance,legacy_candidate,registry_action,machine_owner,next_go,notes
audit,singleton_or_support,yes,no,,modules/,,,,,review_missing_registry,,,
auth,singleton_or_support,yes,no,,modules/,,,,,review_missing_registry,,,
bot_vision,vision,yes,no,,modules/,,,,,review_missing_registry,,,
bot_vision_step2,vision,yes,no,,modules/,,,,,review_missing_registry,,,
collector_binance_spot,collector,yes,no,,modules/,,,,,review_missing_registry,,,
collector_coingecko,collector,yes,no,,modules/,,,,,review_missing_registry,,,
configure_openclaw,openclaw,yes,no,,modules/,,,,,review_missing_registry,,,
datasheet_writer,singleton_or_support,yes,no,,modules/,,,,,review_missing_registry,,,
decision_engine,singleton_or_support,yes,yes,,modules/,,,,,none,,,
deepseek_hub,deepseek,yes,no,,modules/,,,,,review_missing_registry,,,
deepseek_response,deepseek,yes,no,,modules/,,,,,review_missing_registry,,,
deepseek_student,deepseek,yes,no,,modules/,,,,,review_missing_registry,,,
deepseek_thinking,deepseek,yes,no,,modules/,,,,,review_missing_registry,,,
derivatives_analyzer,derivatives,yes,yes,,modules/,,,,,none,,,
derivatives_collector,derivatives,yes,yes,,modules/,,,,,none,,,
desk_analyze,desk,yes,yes,,modules/,,,,,none,,,
desk_capture_inputs,desk,yes,yes,,modules/,,,,,none,,,
desk_common,desk,yes,no,,modules/,,,,,review_missing_registry,,,
desk_pro,desk_pro,yes,no,,modules/,,,,,review_missing_registry,,,
desk_pro_dashboard,desk_pro,yes,yes,,modules/,,,,,none,,,
desk_pro_orchestrator,desk_pro,yes,no,,modules/,,,,,review_missing_registry,,,
desk_pro_runner,desk_pro,yes,yes,,modules/,,,,,none,,,
desk_retention,desk,yes,yes,,modules/,,,,,none,,,
desk_snapshot_ingest,desk,yes,yes,,modules/,,,,,none,,,
desk_state,desk,yes,yes,,modules/,,,,,none,,,
dev_validation_hub,singleton_or_support,yes,no,,modules/,,,,,review_missing_registry,,,
doctor_openclaw,openclaw,yes,no,,modules/,,,,,review_missing_registry,,,
engines,singleton_or_support,yes,no,,modules/,,,,,review_missing_registry,,,
env,singleton_or_support,yes,no,,modules/,,,,,review_missing_registry,,,
evidence_openclaw,openclaw,yes,no,,modules/,,,,,review_missing_registry,,,
execution_engine,singleton_or_support,yes,no,,modules/,,,,,review_missing_registry,,,
gateway_openclaw,openclaw,yes,no,,modules/,,,,,review_missing_registry,,,
git_fleet_guard,singleton_or_support,yes,no,,modules/,,,,,review_missing_registry,,,
governance,singleton_or_support,yes,no,,modules/,,,,,review_missing_registry,,,
health,singleton_or_support,yes,no,,modules/,,,,,review_missing_registry,,,
hf_free_platform,singleton_or_support,yes,no,,modules/,,,,,review_missing_registry,,,
install_module,singleton_or_support,yes,no,,modules/,,,,,review_missing_registry,,,
install_module_openclaw,openclaw,yes,no,,modules/,,,,,review_missing_registry,,,
journal_engine,journal,yes,no,,modules/,,,,,review_missing_registry,,,
kil_v1,singleton_or_support,yes,yes,,modules/,,,,,none,,,
learning_feeder,singleton_or_support,yes,no,,modules/,,,,,review_missing_registry,,,
liquidation_analyzer,singleton_or_support,yes,yes,,modules/,,,,,none,,,
localcms,singleton_or_support,yes,no,,modules/,,,,,review_missing_registry,,,
machines_registry_reader,registry,yes,no,,modules/,,,,,review_missing_registry,,,
marketdata,singleton_or_support,yes,no,,modules/,,,,,review_missing_registry,,,
market_scanner,singleton_or_support,yes,yes,,modules/,,,,,none,,,
memory_bricks,singleton_or_support,yes,yes,,modules/,,,,,none,,,
menu_openclaw,openclaw,yes,no,,modules/,,,,,review_missing_registry,,,
mimo_open_observer,singleton_or_support,yes,yes,,modules/,,,,,none,,,
model_provider_openclaw,openclaw,yes,no,,modules/,,,,,review_missing_registry,,,
module_contextuals_shell,singleton_or_support,yes,no,,modules/,,,,,review_missing_registry,,,
modules_registry_reader,registry,yes,no,,modules/,,,,,review_missing_registry,,,
naming_normalizer,singleton_or_support,yes,no,,modules/,,,,,review_missing_registry,,,
notification_dispatcher,singleton_or_support,yes,no,,modules/,,,,,review_missing_registry,,,
openclaw_config_modulaire,openclaw,yes,no,,modules/,,,,,review_missing_registry,,,
openclaw_operator_bridge,openclaw,yes,no,,modules/,,,,,review_missing_registry,,,
opportunity_ranker,singleton_or_support,yes,yes,,modules/,,,,,none,,,
ops_menu_hub,ops,yes,yes,,modules/,,,,,none,,,
ops_super_menu,ops,yes,no,,modules/,,,,,review_missing_registry,,,
ops_wrappers,ops,yes,no,,modules/,,,,,review_missing_registry,,,
perf,perf,yes,no,,modules/,,,,,review_missing_registry,,,
perf_engine,perf,yes,yes,,modules/,,,,,none,,,
perm_fix_student,singleton_or_support,yes,no,,modules/,,,,,review_missing_registry,,,
portfolio_engine,singleton_or_support,yes,yes,,modules/,,,,,none,,,
position_engine,singleton_or_support,yes,yes,,modules/,,,,,none,,,
probability_engine,singleton_or_support,yes,yes,,modules/,,,,,none,,,
proposition_engine,singleton_or_support,yes,no,,modules/,,,,,review_missing_registry,,,
__pycache__,singleton_or_support,yes,no,,modules/,,,,,review_missing_registry,,,
registry_meta_reader,registry,yes,no,,modules/,,,,,review_missing_registry,,,
registry_router,registry,yes,no,,modules/,,,,,review_missing_registry,,,
