module,inventory_status,mentioned_in_registry_text,registry_action,family_guess,surface,survivor_status,runtime_useful,doc_governance,legacy_candidate,machine_owner,next_go,notes
audit,functional_candidate,no,review_missing_registry,singleton_or_support,modules/,,,,,,,
auth,functional_candidate,no,review_missing_registry,singleton_or_support,modules/,,,,,,,
bot_vision,functional_candidate,no,review_missing_registry,vision,modules/,,,,,,,
bot_vision_step2,functional_candidate,no,review_missing_registry,vision,modules/,,,,,,,
collector_binance_spot,functional_candidate,no,review_missing_registry,collector,modules/,,,,,,,
collector_coingecko,functional_candidate,no,review_missing_registry,collector,modules/,,,,,,,
configure_openclaw,functional_candidate,no,review_missing_registry,openclaw,modules/,,,,,,,
datasheet_writer,functional_candidate,no,review_missing_registry,singleton_or_support,modules/,,,,,,,
decision_engine,functional_candidate,yes,none,singleton_or_support,modules/,,,,,,,
deepseek_hub,functional_candidate,no,review_missing_registry,deepseek,modules/,,,,,,,
deepseek_response,functional_candidate,no,review_missing_registry,deepseek,modules/,,,,,,,
deepseek_student,functional_candidate,no,review_missing_registry,deepseek,modules/,,,,,,,
deepseek_thinking,functional_candidate,no,review_missing_registry,deepseek,modules/,,,,,,,
derivatives_analyzer,functional_candidate,yes,none,derivatives,modules/,,,,,,,
derivatives_collector,functional_candidate,yes,none,derivatives,modules/,,,,,,,
desk_analyze,functional_candidate,yes,none,desk,modules/,,,,,,,
desk_capture_inputs,functional_candidate,yes,none,desk,modules/,,,,,,,
desk_common,functional_candidate,no,review_missing_registry,desk,modules/,,,,,,,
desk_pro,functional_candidate,no,review_missing_registry,desk_pro,modules/,,,,,,,
desk_pro_dashboard,functional_candidate,yes,none,desk_pro,modules/,,,,,,,
desk_pro_orchestrator,functional_candidate,no,review_missing_registry,desk_pro,modules/,,,,,,,
desk_pro_runner,functional_candidate,yes,none,desk_pro,modules/,,,,,,,
desk_retention,functional_candidate,yes,none,desk,modules/,,,,,,,
desk_snapshot_ingest,functional_candidate,yes,none,desk,modules/,,,,,,,
desk_state,functional_candidate,yes,none,desk,modules/,,,,,,,
dev_validation_hub,functional_candidate,no,review_missing_registry,singleton_or_support,modules/,,,,,,,
doctor_openclaw,functional_candidate,no,review_missing_registry,openclaw,modules/,,,,,,,
engines,functional_candidate,no,review_missing_registry,singleton_or_support,modules/,,,,,,,
evidence_openclaw,functional_candidate,no,review_missing_registry,openclaw,modules/,,,,,,,
execution_engine,functional_candidate,no,review_missing_registry,singleton_or_support,modules/,,,,,,,
gateway_openclaw,functional_candidate,no,review_missing_registry,openclaw,modules/,,,,,,,
git_fleet_guard,functional_candidate,no,review_missing_registry,singleton_or_support,modules/,,,,,,,
governance,functional_candidate,no,review_missing_registry,singleton_or_support,modules/,,,,,,,
health,functional_candidate,no,review_missing_registry,singleton_or_support,modules/,,,,,,,
hf_free_platform,functional_candidate,no,review_missing_registry,singleton_or_support,modules/,,,,,,,
install_module,functional_candidate,no,review_missing_registry,singleton_or_support,modules/,,,,,,,
install_module_openclaw,functional_candidate,no,review_missing_registry,openclaw,modules/,,,,,,,
journal_engine,functional_candidate,no,review_missing_registry,journal,modules/,,,,,,,
kil_v1,functional_candidate,yes,none,singleton_or_support,modules/,,,,,,,
learning_feeder,functional_candidate,no,review_missing_registry,singleton_or_support,modules/,,,,,,,
liquidation_analyzer,functional_candidate,yes,none,singleton_or_support,modules/,,,,,,,
localcms,functional_candidate,no,review_missing_registry,singleton_or_support,modules/,,,,,,,
machines_registry_reader,functional_candidate,no,review_missing_registry,registry,modules/,,,,,,,
market_scanner,functional_candidate,yes,none,singleton_or_support,modules/,,,,,,,
marketdata,functional_candidate,no,review_missing_registry,singleton_or_support,modules/,,,,,,,
memory_bricks,functional_candidate,yes,none,singleton_or_support,modules/,,,,,,,
menu_openclaw,functional_candidate,no,review_missing_registry,openclaw,modules/,,,,,,,
mimo_open_observer,functional_candidate,yes,none,singleton_or_support,modules/,,,,,,,
model_provider_openclaw,functional_candidate,no,review_missing_registry,openclaw,modules/,,,,,,,
module_contextuals_shell,functional_candidate,no,review_missing_registry,singleton_or_support,modules/,,,,,,,
modules_registry_reader,functional_candidate,no,review_missing_registry,registry,modules/,,,,,,,
naming_normalizer,functional_candidate,no,review_missing_registry,singleton_or_support,modules/,,,,,,,
notification_dispatcher,functional_candidate,no,review_missing_registry,singleton_or_support,modules/,,,,,,,
openclaw_config_modulaire,functional_candidate,no,review_missing_registry,openclaw,modules/,,,,,,,
openclaw_operator_bridge,functional_candidate,no,review_missing_registry,openclaw,modules/,,,,,,,
opportunity_ranker,functional_candidate,yes,none,singleton_or_support,modules/,,,,,,,
ops_menu_hub,functional_candidate,yes,none,ops,modules/,,,,,,,
ops_super_menu,functional_candidate,no,review_missing_registry,ops,modules/,,,,,,,
ops_wrappers,functional_candidate,no,review_missing_registry,ops,modules/,,,,,,,
perf,functional_candidate,no,review_missing_registry,perf,modules/,,,,,,,
perf_engine,functional_candidate,yes,none,perf,modules/,,,,,,,
perm_fix_student,functional_candidate,no,review_missing_registry,singleton_or_support,modules/,,,,,,,
portfolio_engine,functional_candidate,yes,none,singleton_or_support,modules/,,,,,,,
position_engine,functional_candidate,yes,none,singleton_or_support,modules/,,,,,,,
probability_engine,functional_candidate,yes,none,singleton_or_support,modules/,,,,,,,
proposition_engine,functional_candidate,no,review_missing_registry,singleton_or_support,modules/,,,,,,,
registry_meta_reader,functional_candidate,no,review_missing_registry,registry,modules/,,,,,,,
registry_router,functional_candidate,no,review_missing_registry,registry,modules/,,,,,,,
repo_hygiene,functional_candidate,no,review_missing_registry,singleton_or_support,modules/,,,,,,,
repo_local_artifacts,functional_candidate,no,review_missing_registry,singleton_or_support,modules/,,,,,,,
repo_ownership_guard,functional_candidate,no,review_missing_registry,singleton_or_support,modules/,,,,,,,
reseau_ssh,functional_candidate,yes,none,reseau_ssh,modules/,,,,,,,
reseau_ssh_step1b,functional_candidate,no,review_missing_registry,reseau_ssh,modules/,,,,,,,
result_tracker,functional_candidate,no,review_missing_registry,singleton_or_support,modules/,,,,,,,
risk_engine,functional_candidate,yes,none,singleton_or_support,modules/,,,,,,,
router,functional_candidate,no,review_missing_registry,singleton_or_support,modules/,,,,,,,
runtime_health,functional_candidate,no,review_missing_registry,singleton_or_support,modules/,,,,,,,
scripts,functional_candidate,no,review_missing_registry,singleton_or_support,modules/,,,,,,,
shared,functional_candidate,yes,none,shared,modules/,,,,,,,
shared_files_sftp,functional_candidate,yes,none,shared,modules/,,,,,,,
shared_sshfs_permanent,functional_candidate,yes,none,shared,modules/,,,,,,,
signal_router,functional_candidate,no,review_missing_registry,singleton_or_support,modules/,,,,,,,
simex_bitget_bridge,functional_candidate,no,review_missing_registry,singleton_or_support,modules/,,,,,,,
strategy,functional_candidate,no,review_missing_registry,singleton_or_support,modules/,,,,,,,
trade_executor,functional_candidate,no,review_missing_registry,singleton_or_support,modules/,,,,,,,
trading_lab_v1,functional_candidate,no,review_missing_registry,trading,modules/,,,,,,,
trading_realtime_v1,functional_candidate,no,review_missing_registry,trading,modules/,,,,,,,
tradingview_observer,functional_candidate,no,review_missing_registry,singleton_or_support,modules/,,,,,,,
tradingview_observer_openclaw,functional_candidate,no,review_missing_registry,openclaw,modules/,,,,,,,
trae_module_validator,functional_candidate,yes,none,singleton_or_support,modules/,,,,,,,
ui_registry_msi,functional_candidate,yes,none,registry,modules/,,,,,,,
validated_prompt_factory,functional_candidate,yes,none,singleton_or_support,modules/,,,,,,,
validation_gate,functional_candidate,no,review_missing_registry,singleton_or_support,modules/,,,,,,,
vision_bot,functional_candidate,yes,none,vision,modules/,,,,,,,
webhook,functional_candidate,no,review_missing_registry,singleton_or_support,modules/,,,,,,,
winscp_transfer,functional_candidate,yes,none,singleton_or_support,modules/,,,,,,,
workflow_post_change_v2,functional_candidate,yes,none,workflow_post_change,modules/,,,,,,,
wrappers_registry_reader,functional_candidate,no,review_missing_registry,registry,modules/,,,,,,,
