ts_open,ts_close,open,high,low,close
2026-03-22T18:00:00-04:00,2026-03-22T18:01:00-04:00,3025.10,3026.40,3024.80,3025.90
2026-03-22T18:01:00-04:00,2026-03-22T18:02:00-04:00,3025.90,3026.10,3024.50,3025.00
2026-03-22T18:02:00-04:00,2026-03-22T18:03:00-04:00,3025.00,3025.80,3024.20,3024.60
2026-03-22T18:03:00-04:00,2026-03-22T18:04:00-04:00,3024.60,3025.20,3023.90,3024.10
2026-03-22T18:04:00-04:00,2026-03-22T18:05:00-04:00,3024.10,3024.80,3023.50,3023.80
2026-03-22T18:05:00-04:00,2026-03-22T18:06:00-04:00,3023.80,3024.30,3023.00,3023.40
2026-03-22T18:06:00-04:00,2026-03-22T18:07:00-04:00,3023.40,3024.00,3022.80,3023.10
2026-03-22T18:07:00-04:00,2026-03-22T18:08:00-04:00,3023.10,3023.60,3022.50,3022.90
2026-03-22T18:08:00-04:00,2026-03-22T18:09:00-04:00,3022.90,3023.40,3022.30,3022.60
2026-03-22T18:09:00-04:00,2026-03-22T18:10:00-04:00,3022.60,3023.10,3022.00,3022.40
2026-03-22T18:10:00-04:00,2026-03-22T18:11:00-04:00,3022.40,3023.00,3021.80,3022.10
2026-03-22T18:11:00-04:00,2026-03-22T18:12:00-04:00,3022.10,3022.60,3021.50,3021.80
2026-03-22T18:12:00-04:00,2026-03-22T18:13:00-04:00,3021.80,3022.30,3021.20,3021.60
2026-03-22T18:13:00-04:00,2026-03-22T18:14:00-04:00,3021.60,3022.00,3021.00,3021.30
2026-03-22T18:14:00-04:00,2026-03-22T18:15:00-04:00,3021.30,3021.80,3020.80,3021.10
2026-03-22T18:15:00-04:00,2026-03-22T18:16:00-04:00,3021.10,3021.60,3020.50,3020.80
2026-03-22T18:16:00-04:00,2026-03-22T18:17:00-04:00,3020.80,3021.20,3020.20,3020.50
2026-03-22T18:17:00-04:00,2026-03-22T18:18:00-04:00,3020.50,3021.00,3020.00,3020.30
2026-03-22T18:18:00-04:00,2026-03-22T18:19:00-04:00,3020.30,3020.80,3019.80,3020.10
2026-03-22T18:19:00-04:00,2026-03-22T18:20:00-04:00,3020.10,3020.60,3019.50,3019.90
2026-03-22T18:20:00-04:00,2026-03-22T18:21:00-04:00,3019.90,3020.40,3019.30,3019.60
