ts_open,ts_close,open,high,low,close
2026-03-29T18:00:00-04:00,2026-03-29T18:01:00-04:00,3020.00,3021.00,3019.00,3020.50
2026-03-29T18:01:00-04:00,2026-03-29T18:02:00-04:00,3018.00,3019.00,3017.00,3017.50
2026-03-29T18:02:00-04:00,2026-03-29T18:03:00-04:00,3022.00,3024.00,3021.50,3023.00
2026-03-29T18:03:00-04:00,2026-03-29T18:04:00-04:00,3020.20,3020.50,3020.00,3020.30
2026-03-29T18:04:00-04:00,2026-03-29T18:05:00-04:00,3020.50,3020.80,3020.30,3020.60
2026-03-29T18:05:00-04:00,2026-03-29T18:06:00-04:00,3020.80,3021.10,3020.60,3020.90
2026-03-29T18:06:00-04:00,2026-03-29T18:07:00-04:00,3021.10,3021.40,3020.90,3021.20
2026-03-29T18:07:00-04:00,2026-03-29T18:08:00-04:00,3021.40,3021.70,3021.20,3021.50
2026-03-29T18:08:00-04:00,2026-03-29T18:09:00-04:00,3021.70,3022.00,3021.50,3021.80
2026-03-29T18:09:00-04:00,2026-03-29T18:10:00-04:00,3022.00,3022.30,3021.80,3022.10
2026-03-29T18:10:00-04:00,2026-03-29T18:11:00-04:00,3022.30,3022.60,3022.10,3022.40
2026-03-29T18:11:00-04:00,2026-03-29T18:12:00-04:00,3022.60,3022.90,3022.40,3022.70
2026-03-29T18:12:00-04:00,2026-03-29T18:13:00-04:00,3022.90,3023.20,3022.70,3023.00
2026-03-29T18:13:00-04:00,2026-03-29T18:14:00-04:00,3023.20,3023.50,3023.00,3023.30
2026-03-29T18:14:00-04:00,2026-03-29T18:15:00-04:00,3023.50,3023.80,3023.30,3023.60
2026-03-29T18:15:00-04:00,2026-03-29T18:16:00-04:00,3023.80,3024.10,3023.60,3023.90
2026-03-29T18:16:00-04:00,2026-03-29T18:17:00-04:00,3024.10,3024.40,3023.90,3024.20
2026-03-29T18:17:00-04:00,2026-03-29T18:18:00-04:00,3024.40,3024.70,3024.20,3024.50
2026-03-29T18:18:00-04:00,2026-03-29T18:19:00-04:00,3024.70,3025.00,3024.50,3024.80
2026-03-29T18:19:00-04:00,2026-03-29T18:20:00-04:00,3025.00,3025.30,3024.80,3025.10
2026-03-29T18:20:00-04:00,2026-03-29T18:21:00-04:00,3025.30,3025.60,3025.10,3025.40
2026-03-29T18:21:00-04:00,2026-03-29T18:22:00-04:00,3025.60,3025.90,3025.40,3025.70
2026-03-29T18:22:00-04:00,2026-03-29T18:23:00-04:00,3025.90,3026.20,3025.70,3026.00
2026-03-29T18:23:00-04:00,2026-03-29T18:24:00-04:00,3026.20,3026.50,3026.00,3026.30
2026-03-29T18:24:00-04:00,2026-03-29T18:25:00-04:00,3026.50,3026.80,3026.30,3026.60
2026-03-29T18:25:00-04:00,2026-03-29T18:26:00-04:00,3026.80,3027.10,3026.60,3026.90
2026-03-29T18:26:00-04:00,2026-03-29T18:27:00-04:00,3027.10,3027.40,3026.90,3027.20
2026-03-29T18:27:00-04:00,2026-03-29T18:28:00-04:00,3027.40,3027.70,3027.20,3027.50
2026-03-29T18:28:00-04:00,2026-03-29T18:29:00-04:00,3027.70,3028.00,3027.50,3027.80
2026-03-29T18:29:00-04:00,2026-03-29T18:30:00-04:00,3028.00,3028.30,3027.80,3028.10
2026-03-29T18:30:00-04:00,2026-03-29T18:31:00-04:00,3028.30,3028.60,3028.10,3028.40
2026-03-29T18:31:00-04:00,2026-03-29T18:32:00-04:00,3028.60,3028.90,3028.40,3028.70
2026-03-29T18:32:00-04:00,2026-03-29T18:33:00-04:00,3028.90,3029.20,3028.70,3029.00
2026-03-29T18:33:00-04:00,2026-03-29T18:34:00-04:00,3029.20,3029.50,3029.00,3029.30
2026-03-29T18:34:00-04:00,2026-03-29T18:35:00-04:00,3029.50,3029.80,3029.30,3029.60
2026-03-29T18:35:00-04:00,2026-03-29T18:36:00-04:00,3029.80,3030.10,3029.60,3029.90
2026-03-29T18:36:00-04:00,2026-03-29T18:37:00-04:00,3030.10,3030.40,3029.90,3030.20
2026-03-29T18:37:00-04:00,2026-03-29T18:38:00-04:00,3030.40,3030.70,3030.20,3030.50
2026-03-29T18:38:00-04:00,2026-03-29T18:39:00-04:00,3030.70,3031.00,3030.50,3030.80
2026-03-29T18:39:00-04:00,2026-03-29T18:40:00-04:00,3031.00,3031.30,3030.80,3031.10
2026-03-29T18:40:00-04:00,2026-03-29T18:41:00-04:00,3031.30,3031.60,3031.10,3031.40
2026-03-29T18:41:00-04:00,2026-03-29T18:42:00-04:00,3031.60,3031.90,3031.40,3031.70
